Date,Condition,Max Temp (°C),Min Temp (°C),Humidity (%)
2025-09-10,Partly Cloudy ,28.3,25.9,72
2025-09-11,Sunny,28.0,26.1,71
2025-09-12,Partly Cloudy ,27.6,26.3,73
